txn_id,txn_date,rail,mcc,currency,local_amount,fx_rate,gross_usd,expected_interchange,expected_scheme_fee,expected_net
TXN000033,2026-06-12,card_present_debit,4899 Streaming,USD,94.61,1.0,94.61,1.2,0.12,93.29
TXN000034,2026-06-09,ecom_credit,5812 Restaurants,USD,407.54,1.0,407.54,8.05,0.57,398.92
TXN000035,2026-06-07,ecom_credit,5912 Pharmacy,USD,443.05,1.0,443.05,8.74,0.62,433.69
TXN000036,2026-06-13,cross_border,5812 Restaurants,CAD,524.47,0.731,383.39,8.34,4.22,370.83
TXN000037,2026-06-01,card_present_credit,5411 Grocery,USD,352.25,1.0,352.25,5.91,0.49,345.85
TXN000038,2026-06-11,card_present_debit,5814 Fast Food,USD,72.28,1.0,72.28,0.97,0.09,71.22
TXN000039,2026-06-10,card_present_credit,5411 Grocery,USD,421.84,1.0,421.84,7.06,0.59,414.19
TXN000040,2026-06-08,card_present_debit,5814 Fast Food,USD,131.43,1.0,131.43,1.59,0.17,129.67
TXN000041,2026-06-09,cross_border,5411 Grocery,GBP,210.99,1.278,269.65,5.9,2.97,260.78
TXN000042,2026-06-08,ecom_credit,5541 Fuel,USD,138.88,1.0,138.88,2.81,0.19,135.88
TXN000043,2026-06-08,card_present_debit,5732 Electronics,USD,104.12,1.0,104.12,1.3,0.14,102.68
TXN000044,2026-06-12,card_present_debit,5999 Retail,USD,107.27,1.0,107.27,1.34,0.14,105.79
TXN000045,2026-06-13,card_present_debit,5814 Fast Food,USD,217.58,1.0,217.58,2.49,0.28,214.81
TXN000046,2026-06-09,card_present_credit,5541 Fuel,USD,172.82,1.0,172.82,2.95,0.24,169.63
TXN000047,2026-06-06,card_present_debit,5812 Restaurants,USD,71.38,1.0,71.38,0.96,0.09,70.33
TXN000048,2026-06-06,cross_border,4121 Rideshare,GBP,69.59,1.278,88.94,2.01,0.98,85.95
TXN000049,2026-06-12,card_present_credit,5732 Electronics,USD,368.18,1.0,368.18,6.17,0.52,361.49
TXN000050,2026-06-04,card_present_credit,5732 Electronics,USD,312.57,1.0,312.57,5.26,0.44,306.87
TXN000051,2026-06-05,card_present_credit,4899 Streaming,USD,47.17,1.0,47.17,0.88,0.07,46.22
TXN000052,2026-06-08,ecom_debit,5732 Electronics,USD,219.78,1.0,219.78,3.3,0.29,216.19
TXN000053,2026-06-03,ecom_credit,7011 Lodging,USD,398.07,1.0,398.07,7.86,0.56,389.65
TXN000054,2026-06-02,ecom_credit,5732 Electronics,USD,355.16,1.0,355.16,7.03,0.5,347.63
TXN000055,2026-06-10,ecom_credit,4899 Streaming,USD,221.68,1.0,221.68,4.42,0.31,216.95
TXN000056,2026-06-11,ecom_debit,5999 Retail,USD,9.8,1.0,9.8,0.36,0.01,9.43
TXN000057,2026-06-04,card_present_credit,5541 Fuel,USD,128.22,1.0,128.22,2.22,0.18,125.82
TXN000058,2026-06-13,card_present_credit,4121 Rideshare,USD,440.52,1.0,440.52,7.37,0.62,432.53
TXN000059,2026-06-07,card_present_debit,5541 Fuel,USD,197.56,1.0,197.56,2.28,0.26,195.02
TXN000060,2026-06-08,card_present_credit,7011 Lodging,USD,412.73,1.0,412.73,6.91,0.58,405.24
TXN000061,2026-06-03,ecom_credit,5999 Retail,USD,290.34,1.0,290.34,5.76,0.41,284.17
TXN000062,2026-06-14,ecom_debit,7011 Lodging,USD,43.65,1.0,43.65,0.83,0.06,42.76
TXN000063,2026-06-02,card_present_credit,5541 Fuel,USD,394.14,1.0,394.14,6.6,0.55,386.99
TXN000064,2026-06-10,card_present_credit,4121 Rideshare,USD,106.37,1.0,106.37,1.86,0.15,104.36
TXN000065,2026-06-07,ecom_credit,5999 Retail,USD,344.15,1.0,344.15,6.81,0.48,336.86
TXN000066,2026-06-11,card_present_debit,5814 Fast Food,USD,38.2,1.0,38.2,0.61,0.05,37.54
TXN000067,2026-06-04,ecom_credit,5812 Restaurants,USD,538.91,1.0,538.91,10.61,0.75,527.55
TXN000068,2026-06-08,card_present_debit,7011 Lodging,USD,159.39,1.0,159.39,1.88,0.21,157.3
TXN000069,2026-06-13,card_present_debit,5814 Fast Food,USD,179.13,1.0,179.13,2.09,0.23,176.81
TXN000070,2026-06-03,ecom_credit,5814 Fast Food,USD,456.23,1.0,456.23,9.0,0.64,446.59
TXN000071,2026-06-08,ecom_debit,4121 Rideshare,USD,194.72,1.0,194.72,2.95,0.25,191.52
TXN000072,2026-06-08,card_present_debit,7011 Lodging,USD,48.16,1.0,48.16,0.72,0.06,47.38
TXN000073,2026-06-06,ecom_credit,5912 Pharmacy,USD,333.98,1.0,333.98,6.61,0.47,326.9
TXN000074,2026-06-04,cross_border,4899 Streaming,JPY,52842.43,0.00641,338.72,7.38,3.73,327.61
TXN000075,2026-06-11,card_present_debit,4899 Streaming,USD,155.74,1.0,155.74,1.85,0.2,153.69
TXN000076,2026-06-02,ecom_credit,4899 Streaming,USD,545.97,1.0,545.97,10.75,0.76,534.46
TXN000077,2026-06-07,cross_border,4899 Streaming,CAD,34.36,0.731,25.12,0.64,0.28,24.2
TXN000078,2026-06-14,card_present_debit,5912 Pharmacy,USD,9.2,1.0,9.2,0.31,0.01,8.88
TXN000079,2026-06-10,cross_border,5411 Grocery,MXN,11959.78,0.0542,648.22,14.04,7.13,627.05
TXN000080,2026-06-08,card_present_credit,5999 Retail,USD,200.7,1.0,200.7,3.41,0.28,197.01
TXN000081,2026-06-09,card_present_debit,5812 Restaurants,USD,55.22,1.0,55.22,0.79,0.07,54.36
TXN000082,2026-06-01,cross_border,4121 Rideshare,GBP,264.58,1.278,338.13,7.37,3.72,327.04
TXN000083,2026-06-10,card_present_debit,5999 Retail,USD,149.72,1.0,149.72,1.78,0.19,147.75
TXN000084,2026-06-06,card_present_credit,7011 Lodging,USD,246.33,1.0,246.33,4.16,0.34,241.83
TXN000085,2026-06-05,ecom_credit,4899 Streaming,USD,214.11,1.0,214.11,4.28,0.3,209.53
TXN000086,2026-06-11,ecom_credit,4899 Streaming,USD,315.74,1.0,315.74,6.26,0.44,309.04
TXN000087,2026-06-06,card_present_debit,5814 Fast Food,USD,107.05,1.0,107.05,1.33,0.14,105.58
TXN000088,2026-06-03,cross_border,7011 Lodging,MXN,8407.01,0.0542,455.66,9.9,5.01,440.75
TXN000089,2026-06-03,ecom_debit,5814 Fast Food,USD,7.7,1.0,7.7,0.33,0.01,7.36
TXN000090,2026-06-08,card_present_credit,5732 Electronics,USD,397.18,1.0,397.18,6.65,0.56,389.97
TXN000091,2026-06-04,card_present_debit,4899 Streaming,USD,183.87,1.0,183.87,2.14,0.24,181.49
TXN000092,2026-06-12,ecom_credit,7011 Lodging,USD,356.83,1.0,356.83,7.06,0.5,349.27
TXN000093,2026-06-08,card_present_debit,5814 Fast Food,USD,25.64,1.0,25.64,0.48,0.03,25.13
TXN000094,2026-06-12,card_present_debit,5541 Fuel,USD,71.43,1.0,71.43,0.96,0.09,70.38
TXN000095,2026-06-02,card_present_debit,7011 Lodging,USD,80.54,1.0,80.54,1.06,0.1,79.38
TXN000096,2026-06-07,card_present_debit,4121 Rideshare,USD,91.21,1.0,91.21,1.17,0.12,89.92
TXN000097,2026-06-14,card_present_debit,5541 Fuel,USD,154.82,1.0,154.82,1.84,0.2,152.78
TXN000098,2026-06-05,card_present_credit,5812 Restaurants,USD,168.71,1.0,168.71,2.88,0.24,165.59
TXN000099,2026-06-05,card_present_credit,4121 Rideshare,USD,395.02,1.0,395.02,6.62,0.55,387.85
TXN000100,2026-06-11,card_present_debit,4899 Streaming,USD,5.32,1.0,5.32,0.27,0.01,5.04
TXN000101,2026-06-01,card_present_credit,5732 Electronics,USD,146.39,1.0,146.39,2.52,0.2,143.67
TXN000102,2026-06-12,ecom_credit,5814 Fast Food,USD,107.33,1.0,107.33,2.19,0.15,104.99
TXN000103,2026-06-04,ecom_credit,5912 Pharmacy,USD,124.94,1.0,124.94,2.54,0.17,122.23
TXN000104,2026-06-06,ecom_credit,5912 Pharmacy,USD,305.34,1.0,305.34,6.05,0.43,298.86
TXN000105,2026-06-12,card_present_credit,5411 Grocery,USD,147.16,1.0,147.16,2.53,0.21,144.42
TXN000106,2026-06-03,cross_border,4121 Rideshare,CAD,432.2,0.731,315.94,6.89,3.48,305.57
TXN000107,2026-06-02,card_present_credit,5732 Electronics,USD,100.12,1.0,100.12,1.75,0.14,98.23
TXN000108,2026-06-14,ecom_credit,5732 Electronics,USD,556.17,1.0,556.17,10.95,0.78,544.44
TXN000109,2026-06-14,ecom_debit,7011 Lodging,USD,25.52,1.0,25.52,0.58,0.03,24.91
TXN000110,2026-06-03,card_present_credit,5912 Pharmacy,USD,453.94,1.0,453.94,7.59,0.64,445.71
TXN000111,2026-06-01,card_present_debit,4121 Rideshare,USD,58.18,1.0,58.18,0.82,0.08,57.28
TXN000112,2026-06-03,cross_border,5814 Fast Food,CAD,394.19,0.731,288.15,6.3,3.17,278.68
TXN000113,2026-06-13,card_present_debit,5912 Pharmacy,USD,122.0,1.0,122.0,1.49,0.16,120.35
TXN000114,2026-06-06,card_present_debit,7011 Lodging,USD,71.14,1.0,71.14,0.96,0.09,70.09
TXN000115,2026-06-12,card_present_debit,5541 Fuel,USD,36.52,1.0,36.52,0.59,0.05,35.88
TXN000116,2026-06-11,ecom_credit,5999 Retail,USD,112.34,1.0,112.34,2.29,0.16,109.89
TXN000117,2026-06-02,ecom_credit,4899 Streaming,USD,69.11,1.0,69.11,1.45,0.1,67.56
TXN000118,2026-06-05,card_present_credit,5732 Electronics,USD,64.53,1.0,64.53,1.16,0.09,63.28
TXN000119,2026-06-13,ecom_credit,4899 Streaming,USD,326.74,1.0,326.74,6.47,0.46,319.81
TXN000120,2026-06-09,card_present_debit,5999 Retail,USD,153.03,1.0,153.03,1.82,0.2,151.01
TXN000121,2026-06-03,card_present_debit,5541 Fuel,USD,111.32,1.0,111.32,1.38,0.14,109.8
TXN000122,2026-06-13,ecom_credit,4899 Streaming,USD,484.48,1.0,484.48,9.55,0.68,474.25
TXN000123,2026-06-11,card_present_debit,5814 Fast Food,USD,55.45,1.0,55.45,0.79,0.07,54.59
TXN000124,2026-06-12,ecom_debit,5541 Fuel,USD,291.28,1.0,291.28,4.3,0.38,286.6
TXN000125,2026-06-02,card_present_debit,5814 Fast Food,USD,36.35,1.0,36.35,0.59,0.05,35.71
TXN000126,2026-06-07,card_present_credit,5812 Restaurants,USD,47.51,1.0,47.51,0.88,0.07,46.56
TXN000127,2026-06-10,ecom_debit,4899 Streaming,USD,276.27,1.0,276.27,4.09,0.36,271.82
TXN000128,2026-06-13,cross_border,5999 Retail,MXN,487.27,0.0542,26.41,0.67,0.29,25.45
TXN000129,2026-06-11,cross_border,5541 Fuel,GBP,165.15,1.278,211.06,4.64,2.32,204.1
TXN000130,2026-06-13,card_present_credit,5912 Pharmacy,USD,20.29,1.0,20.29,0.43,0.03,19.83
TXN000131,2026-06-10,card_present_credit,5732 Electronics,USD,325.15,1.0,325.15,5.46,0.46,319.23
TXN000132,2026-06-08,card_present_credit,5814 Fast Food,USD,15.67,1.0,15.67,0.36,0.02,15.29
TXN000133,2026-06-11,card_present_credit,5999 Retail,USD,14.84,1.0,14.84,0.34,0.02,14.48
TXN000134,2026-06-01,ecom_debit,4899 Streaming,USD,76.41,1.0,76.41,1.29,0.1,75.02
TXN000135,2026-06-07,card_present_credit,7011 Lodging,USD,379.73,1.0,379.73,6.37,0.53,372.83
TXN000136,2026-06-07,card_present_credit,5814 Fast Food,USD,396.58,1.0,396.58,6.64,0.56,389.38
TXN000137,2026-06-13,card_present_debit,5732 Electronics,USD,62.63,1.0,62.63,0.87,0.08,61.68
TXN000138,2026-06-01,cross_border,5814 Fast Food,MXN,11574.54,0.0542,627.34,13.59,6.9,606.85
TXN000139,2026-06-11,card_present_debit,4121 Rideshare,USD,121.82,1.0,121.82,1.49,0.16,120.17
TXN000140,2026-06-12,card_present_credit,5912 Pharmacy,USD,390.78,1.0,390.78,6.55,0.55,383.68
TXN000141,2026-06-06,card_present_credit,5411 Grocery,USD,450.95,1.0,450.95,7.54,0.63,442.78
TXN000142,2026-06-05,card_present_debit,5812 Restaurants,USD,6.0,1.0,6.0,0.27,0.01,5.72
TXN000143,2026-06-10,card_present_credit,5541 Fuel,USD,313.26,1.0,313.26,5.27,0.44,307.55
TXN000144,2026-06-01,card_present_debit,5812 Restaurants,USD,92.43,1.0,92.43,1.18,0.12,91.13
TXN000145,2026-06-07,ecom_debit,5732 Electronics,USD,249.16,1.0,249.16,3.71,0.32,245.13
TXN000146,2026-06-08,card_present_credit,5812 Restaurants,USD,22.58,1.0,22.58,0.47,0.03,22.08
TXN000147,2026-06-02,card_present_credit,5912 Pharmacy,USD,364.48,1.0,364.48,6.11,0.51,357.86
TXN000148,2026-06-13,card_present_credit,5814 Fast Food,USD,394.89,1.0,394.89,6.62,0.55,387.72
TXN000149,2026-06-11,card_present_debit,7011 Lodging,USD,108.1,1.0,108.1,1.35,0.14,106.61
TXN000150,2026-06-06,ecom_credit,4121 Rideshare,USD,184.66,1.0,184.66,3.7,0.26,180.7
TXN000151,2026-06-07,card_present_debit,7011 Lodging,USD,39.07,1.0,39.07,0.62,0.05,38.4
TXN000152,2026-06-12,card_present_credit,4121 Rideshare,USD,255.2,1.0,255.2,4.31,0.36,250.53
TXN000153,2026-06-14,ecom_credit,5814 Fast Food,USD,541.0,1.0,541.0,10.65,0.76,529.59
TXN000154,2026-06-11,cross_border,4121 Rideshare,MXN,6861.62,0.0542,371.9,8.1,4.09,359.71
TXN000155,2026-06-11,ecom_credit,5912 Pharmacy,USD,176.09,1.0,176.09,3.53,0.25,172.31
TXN000156,2026-06-11,cross_border,5732 Electronics,MXN,12817.9,0.0542,694.73,15.04,7.64,672.05
TXN000157,2026-06-01,card_present_debit,5999 Retail,USD,207.08,1.0,207.08,2.38,0.27,204.43
TXN000158,2026-06-01,card_present_debit,5411 Grocery,USD,209.33,1.0,209.33,2.41,0.27,206.65
TXN000159,2026-06-12,ecom_credit,4121 Rideshare,USD,16.57,1.0,16.57,0.42,0.02,16.13
TXN000160,2026-06-12,card_present_credit,5814 Fast Food,USD,204.59,1.0,204.59,3.48,0.29,200.82
TXN000161,2026-06-02,card_present_debit,4121 Rideshare,USD,148.06,1.0,148.06,1.76,0.19,146.11
TXN000162,2026-06-13,card_present_debit,5814 Fast Food,USD,140.99,1.0,140.99,1.69,0.18,139.12
TXN000163,2026-06-11,card_present_credit,5999 Retail,USD,205.51,1.0,205.51,3.49,0.29,201.73
TXN000164,2026-06-04,ecom_credit,5411 Grocery,USD,186.02,1.0,186.02,3.73,0.26,182.03
TXN000165,2026-06-13,ecom_credit,5732 Electronics,USD,470.83,1.0,470.83,9.28,0.66,460.89
TXN000166,2026-06-13,card_present_debit,5814 Fast Food,USD,174.54,1.0,174.54,2.04,0.23,172.27
TXN000167,2026-06-02,cross_border,5411 Grocery,CAD,251.37,0.731,183.75,4.05,2.02,177.68
TXN000168,2026-06-08,card_present_credit,5732 Electronics,USD,24.33,1.0,24.33,0.5,0.03,23.8
TXN000169,2026-06-12,ecom_credit,5812 Restaurants,USD,53.73,1.0,53.73,1.15,0.08,52.5
TXN000170,2026-06-02,ecom_debit,4899 Streaming,USD,93.55,1.0,93.55,1.53,0.12,91.9
TXN000171,2026-06-01,ecom_credit,5541 Fuel,USD,270.48,1.0,270.48,5.37,0.38,264.73
TXN000172,2026-06-12,card_present_debit,5732 Electronics,USD,48.3,1.0,48.3,0.72,0.06,47.52
TXN000173,2026-06-02,ecom_credit,5732 Electronics,USD,97.45,1.0,97.45,2.0,0.14,95.31
TXN000174,2026-06-11,ecom_credit,5411 Grocery,USD,195.0,1.0,195.0,3.9,0.27,190.83
TXN000175,2026-06-03,ecom_credit,5999 Retail,USD,429.81,1.0,429.81,8.48,0.6,420.73
TXN000176,2026-06-03,ecom_credit,5814 Fast Food,USD,471.11,1.0,471.11,9.29,0.66,461.16
TXN000177,2026-06-10,card_present_debit,5999 Retail,USD,102.23,1.0,102.23,1.28,0.13,100.82
TXN000178,2026-06-08,card_present_debit,5912 Pharmacy,USD,27.38,1.0,27.38,0.5,0.04,26.84
TXN000179,2026-06-03,card_present_debit,5812 Restaurants,USD,100.81,1.0,100.81,1.27,0.13,99.41
TXN000180,2026-06-08,card_present_credit,4899 Streaming,USD,291.16,1.0,291.16,4.9,0.41,285.85
TXN000181,2026-06-12,card_present_credit,5814 Fast Food,USD,28.07,1.0,28.07,0.56,0.04,27.47
TXN000182,2026-06-12,card_present_debit,5411 Grocery,USD,83.41,1.0,83.41,1.09,0.11,82.21
TXN000183,2026-06-03,ecom_credit,4899 Streaming,USD,282.72,1.0,282.72,5.61,0.4,276.71
TXN000184,2026-06-08,ecom_credit,5812 Restaurants,USD,189.42,1.0,189.42,3.79,0.27,185.36
TXN000185,2026-06-04,card_present_debit,5812 Restaurants,USD,165.69,1.0,165.69,1.95,0.22,163.52
TXN000186,2026-06-13,card_present_credit,5541 Fuel,USD,475.33,1.0,475.33,7.94,0.67,466.72
TXN000187,2026-06-03,card_present_debit,4899 Streaming,USD,172.95,1.0,172.95,2.03,0.22,170.7
TXN000188,2026-06-03,card_present_debit,5411 Grocery,USD,57.48,1.0,57.48,0.81,0.07,56.6
TXN000189,2026-06-10,ecom_debit,5999 Retail,USD,184.56,1.0,184.56,2.8,0.24,181.52
TXN000190,2026-06-01,ecom_credit,5411 Grocery,USD,389.08,1.0,389.08,7.69,0.54,380.85
TXN000191,2026-06-08,card_present_debit,5814 Fast Food,USD,27.15,1.0,27.15,0.5,0.04,26.61
TXN000192,2026-06-12,card_present_credit,5999 Retail,USD,379.52,1.0,379.52,6.36,0.53,372.63
TXN000193,2026-06-11,card_present_debit,4899 Streaming,USD,203.27,1.0,203.27,2.34,0.26,200.67
TXN000194,2026-06-14,card_present_debit,4121 Rideshare,USD,38.82,1.0,38.82,0.62,0.05,38.15
TXN000195,2026-06-12,cross_border,4121 Rideshare,GBP,684.6,1.278,874.92,18.91,9.62,846.39
TXN000196,2026-06-13,ecom_credit,5411 Grocery,USD,174.45,1.0,174.45,3.5,0.24,170.71
TXN000197,2026-06-13,card_present_debit,4899 Streaming,USD,91.12,1.0,91.12,1.17,0.12,89.83
TXN000198,2026-06-09,card_present_credit,5814 Fast Food,USD,270.06,1.0,270.06,4.56,0.38,265.12
TXN000199,2026-06-10,ecom_debit,5411 Grocery,USD,115.22,1.0,115.22,1.83,0.15,113.24
TXN000200,2026-06-14,card_present_debit,5732 Electronics,USD,43.23,1.0,43.23,0.66,0.06,42.51
TXN000201,2026-06-08,card_present_debit,7011 Lodging,USD,54.4,1.0,54.4,0.78,0.07,53.55
TXN000202,2026-06-03,card_present_debit,5732 Electronics,USD,145.03,1.0,145.03,1.73,0.19,143.11
TXN000203,2026-06-04,ecom_credit,5814 Fast Food,USD,31.88,1.0,31.88,0.72,0.04,31.12
TXN000204,2026-06-05,card_present_credit,5411 Grocery,USD,111.89,1.0,111.89,1.95,0.16,109.78
TXN000205,2026-06-10,ecom_credit,5732 Electronics,USD,99.21,1.0,99.21,2.03,0.14,97.04
TXN000206,2026-06-07,card_present_debit,4899 Streaming,USD,30.06,1.0,30.06,0.53,0.04,29.49
TXN000207,2026-06-05,card_present_debit,5912 Pharmacy,USD,122.31,1.0,122.31,1.49,0.16,120.66
TXN000208,2026-06-11,card_present_debit,5541 Fuel,USD,55.88,1.0,55.88,0.8,0.07,55.01
TXN000209,2026-06-07,card_present_credit,5812 Restaurants,USD,244.92,1.0,244.92,4.14,0.34,240.44
TXN000210,2026-06-03,card_present_credit,5814 Fast Food,USD,206.87,1.0,206.87,3.51,0.29,203.07
TXN000211,2026-06-01,ecom_credit,5541 Fuel,USD,19.44,1.0,19.44,0.48,0.03,18.93
TXN000212,2026-06-06,card_present_credit,5812 Restaurants,USD,370.35,1.0,370.35,6.21,0.52,363.62
TXN000213,2026-06-13,card_present_credit,4899 Streaming,USD,231.17,1.0,231.17,3.91,0.32,226.94
TXN000214,2026-06-04,ecom_credit,5912 Pharmacy,USD,154.42,1.0,154.42,3.11,0.22,151.09
TXN000215,2026-06-14,ecom_credit,5411 Grocery,USD,171.84,1.0,171.84,3.45,0.24,168.15
TXN000216,2026-06-14,card_present_debit,5411 Grocery,USD,213.44,1.0,213.44,2.45,0.28,210.71
TXN000217,2026-06-11,card_present_debit,5814 Fast Food,USD,196.11,1.0,196.11,2.27,0.25,193.59
TXN000218,2026-06-09,card_present_debit,4899 Streaming,USD,149.18,1.0,149.18,1.78,0.19,147.21
TXN000219,2026-06-08,card_present_credit,5411 Grocery,USD,352.09,1.0,352.09,5.91,0.49,345.69
TXN000220,2026-06-05,ecom_credit,4899 Streaming,USD,600.9,1.0,600.9,11.82,0.84,588.24
TXN000221,2026-06-13,ecom_debit,4121 Rideshare,USD,228.17,1.0,228.17,3.41,0.3,224.46
TXN000222,2026-06-11,card_present_credit,5732 Electronics,USD,257.69,1.0,257.69,4.35,0.36,252.98
TXN000223,2026-06-07,card_present_debit,5912 Pharmacy,USD,161.09,1.0,161.09,1.9,0.21,158.98
TXN000224,2026-06-10,card_present_debit,7011 Lodging,USD,51.31,1.0,51.31,0.75,0.07,50.49
TXN000225,2026-06-12,ecom_credit,5999 Retail,USD,47.65,1.0,47.65,1.03,0.07,46.55
TXN000226,2026-06-13,card_present_credit,5999 Retail,USD,46.17,1.0,46.17,0.86,0.06,45.25
TXN000227,2026-06-06,card_present_debit,5541 Fuel,USD,30.29,1.0,30.29,0.53,0.04,29.72
TXN000228,2026-06-01,ecom_debit,5541 Fuel,USD,225.63,1.0,225.63,3.38,0.29,221.96
TXN000229,2026-06-01,ecom_credit,7011 Lodging,USD,542.22,1.0,542.22,10.67,0.76,530.79
TXN000230,2026-06-03,card_present_debit,4121 Rideshare,USD,38.91,1.0,38.91,0.62,0.05,38.24
TXN000231,2026-06-05,card_present_credit,5411 Grocery,USD,167.64,1.0,167.64,2.87,0.23,164.54
TXN000232,2026-06-13,card_present_credit,5541 Fuel,USD,81.72,1.0,81.72,1.45,0.11,80.16
TXN000233,2026-06-09,ecom_credit,4121 Rideshare,USD,380.41,1.0,380.41,7.52,0.53,372.36
TXN000234,2026-06-11,card_present_debit,5812 Restaurants,USD,61.79,1.0,61.79,0.86,0.08,60.85
TXN000235,2026-06-11,card_present_debit,5812 Restaurants,USD,174.06,1.0,174.06,2.04,0.23,171.79
TXN000236,2026-06-06,ecom_debit,5814 Fast Food,USD,132.29,1.0,132.29,2.07,0.17,130.05
TXN000237,2026-06-11,ecom_debit,5999 Retail,USD,258.08,1.0,258.08,3.83,0.34,253.91
TXN000238,2026-06-14,ecom_credit,7011 Lodging,USD,389.38,1.0,389.38,7.69,0.55,381.14
TXN000239,2026-06-09,card_present_debit,5812 Restaurants,USD,54.1,1.0,54.1,0.78,0.07,53.25
TXN000240,2026-06-08,ecom_debit,5814 Fast Food,USD,126.89,1.0,126.89,2.0,0.16,124.73
TXN000241,2026-06-04,cross_border,4121 Rideshare,EUR,396.56,1.082,429.08,9.33,4.72,415.03
TXN000242,2026-06-12,card_present_credit,4121 Rideshare,USD,164.79,1.0,164.79,2.82,0.23,161.74
TXN000243,2026-06-05,card_present_credit,5541 Fuel,USD,254.81,1.0,254.81,4.3,0.36,250.15
TXN000244,2026-06-14,ecom_credit,7011 Lodging,USD,486.64,1.0,486.64,9.59,0.68,476.37
TXN000245,2026-06-10,cross_border,5541 Fuel,GBP,435.92,1.278,557.1,12.08,6.13,538.89
TXN000246,2026-06-11,card_present_credit,5814 Fast Food,USD,339.22,1.0,339.22,5.7,0.47,333.05
TXN000247,2026-06-03,ecom_credit,5912 Pharmacy,USD,195.93,1.0,195.93,3.92,0.27,191.74
TXN000248,2026-06-07,card_present_debit,4121 Rideshare,USD,168.81,1.0,168.81,1.98,0.22,166.61
TXN000249,2026-06-10,ecom_credit,4899 Streaming,USD,564.62,1.0,564.62,11.11,0.79,552.72
TXN000250,2026-06-01,card_present_debit,5812 Restaurants,USD,55.6,1.0,55.6,0.79,0.07,54.74
